,CountryRegion,CountryName,BirthRateValue,BirthRateRank,EnergyConsumptionValue,EnergyConsumptionRank,CDEmissionsValue,CDEmissionsRank,FertilityRateValue,FertilityRateRank,IPGrowthRateValue,IPGrowthRateRank,LaborForceValue,LaborForceRank,LifeExpectancyValue,LifeExpectancyRank,UnemploymentRateValue,UnemploymentRateRank
151,Central America and the Caribbean,Montserrat,10.9,173,0.0,203,,213,1.32,219,-21.0,206,,222,75.7,119,5.6,96
152,Central America and the Caribbean,Barbados,10.83,174,,68,,163,1.7,167,-0.6,163,,179,78.55,69,10.41,160
153,Europe,Sweden,10.83,175,,21,,59,1.67,173,5.72,75,,75,82.7,17,8.66,143
154,Middle East,United Arab Emirates,10.81,176,,4,,24,1.64,177,2.54,128,,74,79.56,60,3.36,37
155,Europe,United Kingdom,10.79,178,,46,,16,1.63,181,9.12,36,,17,81.94,31,4.53,66
156,Europe,Cyprus,10.57,180,,40,,113,1.48,205,8.1,51,,156,79.74,55,6.13,102
157,Europe,North Macedonia,10.45,181,,96,,123,1.51,201,-2.37,177,,148,76.84,98,16.2,199
158,Europe,Finland,10.42,182,,20,,62,1.74,158,2.77,126,,112,81.76,34,7.53,126
159,Europe,Switzerland,10.36,183,,38,,66,1.58,190,7.91,52,,85,83.23,12,5.32,89
160,Europe,Moldova,10.19,185,,105,,112,1.59,187,-0.67,164,,152,72.44,155,3.96,51
161,North America,Canada,10.17,186,,6,,9,1.57,191,4.74,95,,32,83.8,6,7.51,125
162,East and Southeast Asia,Thailand,10.14,187,,79,,20,1.54,196,3.34,117,,16,77.66,86,1.42,10
163,Central America and the Caribbean,Cuba,10.11,188,,119,,94,1.71,163,-6.75,192,,82,79.64,59,2.76,29
164,East and Southeast Asia,China,9.93,189,,54,,1,1.45,210,8.22,50,,1,77.72,85,4.82,73
165,Africa,Mauritius,9.86,190,,75,,124,1.35,218,20.88,5,,157,74.86,131,7.41,124
166,Europe,Malta,9.73,192,,14,,108,1.5,203,-3.3,179,,168,83.2,13,3.5,40
167,Europe,Austria,9.45,193,,28,,52,1.51,199,6.77,64,,90,82.27,25,6.3,103
168,Central Asia,Russia,9.45,194,,18,,4,1.6,184,4.9,94,,7,72.44,156,5.01,77
169,Middle East,Qatar,9.33,196,,1,,38,1.9,130,0.66,153,,126,79.81,53,0.26,2
170,Europe,Lithuania,9.26,198,,58,,96,1.61,183,8.58,42,,133,75.78,115,7.9,132
171,East and Southeast Asia,Macau,9.11,199,,73,,159,1.22,224,5.17,86,,161,84.98,3,3.01,35
172,Europe,Belarus,9.08,200,,56,,56,1.51,200,6.7,65,,86,74.28,138,4.74,69
173,Europe,Germany,9.08,201,,31,,6,1.57,192,3.61,108,,15,81.51,38,3.54,42
174,East and Southeast Asia,Singapore,9.05,202,,2,,28,1.16,225,13.32,20,,101,86.35,2,3.62,44
175,Europe,Ukraine,9.0,203,,70,,33,1.56,193,2.57,127,,33,73.45,146,8.88,147
176,Europe,Slovakia,8.94,204,,42,,74,1.46,208,2.46,129,,113,78.31,75,6.74,113
177,Europe,Serbia,8.92,205,,62,,60,1.46,207,8.63,40,,102,74.17,141,11.81,171
178,Europe,Romania,8.76,207,,84,,51,1.63,179,4.07,102,,63,75.75,117,5.17,83
179,Europe,Estonia,8.75,208,,80,,135,1.61,182,7.13,60,,154,77.88,82,6.33,104
180,Europe,Latvia,8.73,209,,66,,110,1.54,195,1.93,136,,146,75.91,113,7.6,127
181,Europe,Croatia,8.65,210,,64,,93,1.45,211,9.11,37,,128,77.22,91,8.68,144
182,Europe,Hungary,8.65,211,,50,,58,1.48,206,6.64,66,,88,77.2,92,4.12,58
183,Europe,Czechia,8.59,212,,30,,43,1.49,204,3.3,118,,78,79.73,56,2.89,31
184,Europe,Poland,8.5,213,,48,,21,1.4,214,3.36,116,,35,78.76,68,3.37,38
185,Europe,Bosnia and Herzegovina,8.41,214,,83,,95,1.36,216,8.87,38,,140,77.98,81,15.22,194
186,Europe,Slovenia,8.3,215,,39,,99,1.6,186,9.43,33,,144,81.82,33,4.42,64
187,Europe,Bulgaria,8.05,216,,55,,67,1.5,202,1.72,138,,100,75.57,120,5.42,93
188,East and Southeast Asia,Hong Kong,8.04,217,,27,,46,1.22,222,2.08,133,,98,83.61,8,5.32,88
189,Europe,Portugal,8.0,218,,57,,57,1.43,212,5.63,80,,81,81.5,39,6.65,112
190,Central America and the Caribbean,Puerto Rico,7.87,219,,63,,86,1.24,221,-2.1,175,,142,81.68,35,8.27,138
191,Europe,Greece,7.61,220,,51,,50,1.4,213,10.67,25,,91,81.49,40,14.8,193
192,East and Southeast Asia,Taiwan,7.39,221,,32,,23,1.08,227,3.9,106,,51,81.16,43,3.73,49
193,Europe,Spain,7.13,222,,45,,22,1.27,220,4.03,103,,28,82.55,23,14.73,192
194,Europe,Italy,6.95,223,,49,,19,1.22,223,13.46,18,,26,82.59,20,9.83,156
195,East and Southeast Asia,Japan,6.95,224,,35,,5,1.38,215,-4.33,186,,9,84.83,4,2.8,30
196,East and Southeast Asia,"Korea, South",6.92,225,,15,,7,1.1,226,5.09,88,,23,82.97,16,3.53,41
