,CountryName,UnemploymentRateValue,UnemploymentRateRank,CountryRegion
208,Somalia,19.86,209,Africa
209,Armenia,20.9,210,Middle East
210,Saint Vincent and the Grenadines,21.62,211,Central America and the Caribbean
211,Namibia,21.68,212,Africa
212,Gabon,22.26,213,Africa
213,Dominica,23.0,214,Central America and the Caribbean
214,Nauru,23.0,215,Australia and Oceania
215,"Congo, Republic of the",23.01,216,Africa
216,Grenada,24.0,217,Central America and the Caribbean
217,Lesotho,24.6,218,Africa
218,Botswana,24.72,219,Africa
219,Gaza Strip,24.9,220,Middle East
220,West Bank,24.9,221,Middle East
221,Eswatini,25.76,222,Africa
222,Djibouti,28.39,223,Africa
223,American Samoa,29.8,224,Australia and Oceania
224,Kosovo,30.5,225,Europe
225,Kiribati,30.6,226,Australia and Oceania
226,South Africa,33.56,227,Africa
227,Marshall Islands,36.0,228,Australia and Oceania
